customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0000024,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,43.42,476.86,No
CUST-0000025,Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,45.03,1065.15,Yes
CUST-0000026,Female,0,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,475.62,No
CUST-0000027,Male,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,63.42,1687.19,No
CUST-0000028,Female,0,No,No,61,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,107.89,6559.49,No
CUST-0000029,Female,0,Yes,No,15,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,77.32,1146.98,No
CUST-0000030,Male,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),75.89,1742.64,No
CUST-0000031,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,94.85,,No
CUST-0000032,Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,111.81,5493.95,No
CUST-0000033,Male,0,No,Yes,9,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,80.22,686.57,No
CUST-0000034,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,85.76,4620.74,No
CUST-0000035,Female,0,No,Yes,9,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,63.76,572.65,No
CUST-0000036,Female,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.19,,No
CUST-0000037,Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,94.17,503.89,No
CUST-0000038,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),49.33,3560.54,No
CUST-0000039,Female,0,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,63.74,738.19,No
CUST-0000040,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,46.49,143.12,Yes
CUST-0000041,Male,0,No,No,4,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,85.18,314.2,Yes
CUST-0000042,Male,0,Yes,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,61.06,695.77,No
CUST-0000043,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,76.18,27.31,No
CUST-0000044,Female,0,Yes,Yes,22,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,18.25,390.76,No
CUST-0000045,Male,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,20.36,144.25,No
CUST-0000046,Female,0,Yes,No,23,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,90.09,2044.04,No
CUST-0000047,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,39.74,178.16,No
CUST-0000048,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,35.24,622.35,No
CUST-0000049,Female,1,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,38.63,1106.62,Yes
CUST-0000050,Male,0,Yes,No,2,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,70.71,130.92,Yes
CUST-0000051,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,50.47,786.85,No
CUST-0000052,Female,0,Yes,Yes,11,No,No phone service,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,51.45,574.66,No
CUST-0000053,Female,0,No,No,8,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),45.52,357.84,Yes
CUST-0000054,Female,0,No,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),86.83,2491.4,No
CUST-0000055,Female,0,Yes,Yes,28,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,51.89,1491.85,No
CUST-0000056,Female,0,No,No,31,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,55.0,1736.92,No
CUST-0000057,Male,1,No,Yes,5,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.47,245.7,No
CUST-0000058,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,77.7,743.11,No
CUST-0000059,Male,0,No,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,117.51,842.95,No
CUST-0000060,Male,1,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.94,1995.75,No
CUST-0000061,Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),83.05,1585.09,No
CUST-0000062,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,94.03,1100.06,No
CUST-0000063,Female,0,Yes,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.75,2514.41,No
CUST-0000064,Male,0,Yes,No,3,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),59.82,165.39,No
CUST-0000065,Male,0,No,No,72,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),18.25,1312.94,No
CUST-0000066,Female,1,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),79.96,231.83,No
CUST-0000067,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,64.64,3036.24,Yes
CUST-0000068,Female,0,Yes,No,14,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,45.81,630.85,No
CUST-0000069,Male,1,No,No,64,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),69.99,4460.88,No
CUST-0000070,Female,0,No,No,2,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),118.75,241.21,Yes
CUST-0000071,Female,0,No,Yes,15,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,65.98,990.82,No
CUST-0000072,Male,0,No,Yes,13,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,70.63,918.07,No
CUST-0000073,Male,1,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),118.75,8566.14,Yes
CUST-0000074,Female,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),99.98,7193.71,Yes
CUST-0000075,Female,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,91.44,549.77,No
CUST-0000076,Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,118.75,3682.43,No
CUST-0000077,Female,0,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),38.32,878.55,No
CUST-0000078,Male,1,Yes,No,5,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,118.75,609.52,No
CUST-0000079,Male,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),94.79,461.54,No
CUST-0000080,Male,0,Yes,Yes,72,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,102.26,7372.79,Yes
CUST-0000081,Female,1,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,84.7,1611.66,No
CUST-0000082,Female,0,No,No,4,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,40.49,145.42,Yes
CUST-0000083,Male,0,Yes,No,7,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,18.25,137.18,No
CUST-0000084,Male,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.62,665.41,No
CUST-0000085,Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,46.8,1031.18,No
CUST-0000086,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,43.39,555.98,No
CUST-0000087,Female,1,No,Yes,19,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,52.35,1011.88,Yes
CUST-0000088,Female,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,112.27,No
CUST-0000089,Female,0,No,No,12,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),34.45,409.85,Yes
CUST-0000090,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.7,33.62,Yes
CUST-0000091,Male,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.33,1949.2,No
CUST-0000092,Female,0,No,No,7,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.33,270.85,No
CUST-0000093,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),60.23,2703.81,No
CUST-0000094,Female,1,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),79.9,1025.93,No
CUST-0000095,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,118.75,2383.86,Yes
CUST-0000096,Male,0,Yes,Yes,11,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),23.85,260.02,No
CUST-0000097,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),99.75,3799.43,No
CUST-0000098,Male,1,Yes,No,59,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),53.31,3114.9,No
CUST-0000099,Male,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,18.25,185.69,No
CUST-0000100,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,35.54,275.02,No
CUST-0000101,Male,0,Yes,No,36,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.79,3136.67,Yes
CUST-0000102,Female,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,68.43,421.14,No
CUST-0000103,Male,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),18.25,583.55,No
CUST-0000104,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,75.14,234.29,Yes
CUST-0000105,Female,0,Yes,No,30,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),31.88,888.89,No
CUST-0000106,Male,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,47.51,1111.61,No
CUST-0000107,Male,0,No,Yes,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,55.61,183.97,No
CUST-0000108,Female,0,No,No,33,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),67.16,2242.66,No
CUST-0000109,Male,0,Yes,Yes,18,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),84.27,1489.05,No
CUST-0000110,Male,1,Yes,No,7,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),73.92,499.51,No
CUST-0000111,Male,1,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.25,1201.57,No
CUST-0000112,Male,0,No,No,21,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,77.78,1651.43,Yes
CUST-0000113,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.16,206.54,No
CUST-0000114,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.28,3839.55,Yes
CUST-0000115,Female,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,42.45,1492.31,No
CUST-0000116,Female,0,No,No,3,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,100.84,314.28,No
CUST-0000117,Female,0,No,No,55,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,47.34,2585.44,No
CUST-0000118,Male,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,117.33,1395.42,No
CUST-0000119,Female,0,No,Yes,29,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,93.8,2711.63,Yes
CUST-0000120,Female,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),97.09,989.48,No
CUST-0000121,Female,0,Yes,Yes,42,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),43.15,1812.78,Yes
CUST-0000122,Female,0,No,No,41,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),93.84,3876.23,No
CUST-0000123,Male,0,No,Yes,25,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,118.75,2942.42,No
CUST-0000124,Male,1,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,98.99,804.69,No
CUST-0000125,Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,118.75,1077.93,No
CUST-0000126,Male,0,No,Yes,15,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.92,1213.92,No
CUST-0000127,Female,0,Yes,Yes,5,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,106.5,520.7,No
CUST-0000128,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,82.62,1067.95,Yes
CUST-0000129,Male,1,Yes,Yes,36,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,23.0,839.76,No
CUST-0000130,Female,0,Yes,No,56,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.81,5641.4,Yes
CUST-0000131,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),43.24,505.76,No
CUST-0000132,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),22.78,196.95,Yes
CUST-0000133,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.8,3125.76,No
CUST-0000134,Male,1,No,No,70,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),77.31,5445.33,No
CUST-0000135,Female,0,No,No,16,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),48.46,767.33,No
CUST-0000136,Male,0,No,No,0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),99.64,,Yes
CUST-0000137,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),38.24,1418.21,Yes
CUST-0000138,Female,0,No,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),77.31,3803.7,No
CUST-0000139,Male,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,60.87,,Yes
CUST-0000140,Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,61.24,1702.82,Yes
CUST-0000141,Female,0,No,No,28,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),79.17,2243.83,No
CUST-0000142,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,89.52,1349.43,Yes
CUST-0000143,Male,1,Yes,Yes,44,No,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),73.49,3233.94,Yes
CUST-0000144,Male,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),91.5,1529.25,No
CUST-0000145,Male,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,77.35,2773.6,Yes
CUST-0000146,Male,0,No,No,23,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,118.75,2712.09,No
CUST-0000147,Female,0,Yes,Yes,9,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),18.25,174.78,No
CUST-0000148,Male,0,No,No,29,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),18.25,535.51,No
CUST-0000149,Male,0,No,No,42,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,78.18,3292.41,No
CUST-0000150,Male,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,22.51,1632.49,No
CUST-0000151,Female,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,69.72,1057.01,No
CUST-0000152,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,71.79,168.55,Yes
CUST-0000153,Male,0,No,No,72,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,18.25,1312.89,No
CUST-0000154,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),78.32,2434.08,No
CUST-0000155,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),84.11,6062.86,Yes
CUST-0000156,Male,1,No,Yes,3,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,49.44,161.98,Yes
CUST-0000157,Female,1,No,No,13,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,104.95,1375.21,No
CUST-0000158,Female,0,Yes,No,4,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),18.25,74.05,Yes
CUST-0000159,Male,0,No,No,57,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,55.92,3166.93,Yes
CUST-0000160,Female,0,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,90.4,6043.71,Yes
CUST-0000161,Male,0,Yes,Yes,22,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,92.79,2039.57,Yes
CUST-0000162,Female,1,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,83.61,502.03,No
CUST-0000163,Female,0,Yes,No,4,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),54.82,224.63,No
CUST-0000164,Female,0,No,No,28,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),18.25,505.84,Yes
CUST-0000165,Male,0,Yes,Yes,22,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),40.63,918.1,Yes
CUST-0000166,Female,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),83.24,3083.55,No
CUST-0000167,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.72,1100.86,No
CUST-0000168,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,98.35,1567.46,No
CUST-0000169,Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),111.61,,No
CUST-0000170,Female,0,No,No,30,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),118.75,3568.64,No
CUST-0000171,Female,0,Yes,No,17,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.71,1134.62,No
CUST-0000172,Male,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),72.04,5190.99,Yes
CUST-0000173,Female,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.95,1687.69,Yes
CUST-0000174,Male,0,Yes,No,16,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,44.94,725.31,Yes
CUST-0000175,Female,0,Yes,No,9,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,38.13,410.14,No
CUST-0000176,Male,1,No,Yes,72,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,44.37,3213.55,No
